"","Status","Paper.code","Paper.number","Screening.set","Extraction.set","Paper","Publication.year","Title","DOI","Species.latin","Family","Class","Phylum","Sex.exposed","Fertilisation.mode","Agricultural.importance","Lab.or.field","Animal.origin","Stressor.variation","Habitat","Country.of.origin","Continent.of.origin","Ocean.sea.of.origin","Exposure.duration","Life.stage.of.animal","Lowest.temp.below.10.C.","Constant.or.fluctuating.","Acclimated.","Effect.size.code","Experiment.code","Trait.category","Trait","Sex","Rearing.temperature","es","v","diff","reftemp","treattemp","gtest","warm.cool"
"5","Good","HUM148",2097,40,"25A","Ju et al.",2011,"Effects of temperature on the development and population growth of the sycamore lace bug, Corythucha ciliata","10.1673/031.011.0116","Corythucha ciliata","Tingidae","Insecta","Arthropoda","Female","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","HUM148_1","HUM148A","Reproduction","eggs per female","Female",26,-2.67924340456421,0.252972420348347,-10,26,16,NA,"Cool"
"44","Good","HUM317",2194,42,"25B","Xia et al.",2012,"Effect of temperature on development and reproduction of Neoseiulus barkeri (Acari: Phytoseiidae) fed on Aleuroglyphus ovatus","10.1007/s10493-011-9481-1","Neoseiulus barkeri","Phytoseiidae","Arachnida","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","Yes (multiple generations)","HUM317_1","HUM317A","Reproduction","eggs per female","Female",24,-4.93007541779197,0.278579029608969,-8,24,16,NA,"Cool"
"59","Good","HUM58",2043,39,"18A","Choudhary et al., 2019",2019,"Predicting the population growth potential of Bactrocera zonata (Saunders) (Diptera: Tephritidae) using temperature development growth models and their validation in fluctuating temperature condition","10.1007/s12600-019-00777-4","Bactrocera zonata","Tephritidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Mix","No","Constant","No","HUM58_3","HUM58C","Reproduction","Eggs per female","Female",25,-12.873612601434,4.34324753529498,-10,25,15,NA,"Cool"
"79","Good","OSM205",2241,43,"20C","Medina et al.",2007,"Effects of temperature and salinity on prereproductive life span and reproductive traits of two species of Artemia (Branchiopoda, Anostraca) from Argentina: Artemia franciscana and A-persimilis","10.1007/s10750-006-0361-3","Artemia persimilis","Artemiidae","Crustacea","Arthropoda","Both sexes","Internal","No","Lab","Wild-caught","Experimental","Aquatic","Argentina","South America",NA,"More than 5 days","Mix","No","Constant","No","OSM205_2","OSM205_B","Survival","survival rate (%)","Female",NA,-109.510644806577,46.7581295821767,-16,28,12,NA,"Cool"
"80","Good","OSM205",2241,43,"20C","Medina et al.",2007,"Effects of temperature and salinity on prereproductive life span and reproductive traits of two species of Artemia (Branchiopoda, Anostraca) from Argentina: Artemia franciscana and A-persimilis","10.1007/s10750-006-0361-3","Artemia fransiscana","Artemiidae","Crustacea","Arthropoda","Both sexes","Internal","No","Lab","Wild-caught","Experimental","Aquatic","Argentina","South America",NA,"More than 5 days","Mix","No","Constant","No","OSM205_3","OSM205_A","Reproduction","Offspring per female","Female",NA,-115.900660163096,52.3716622092373,-16,28,12,NA,"Cool"
"251","Good","TEMP1456",1265,24,"10B","NIKLASSON, H.; PARKER, E. m. o.",1994,"FITNESS VARIATION IN AN INVADING PARTHENOGENETIC COCKROACH","10.2307/3546171","Pycnoscelus indicus","Blaberidae","Insecta","Arthropoda","Parthenogenetic",NA,"No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1456_2","TEMP1456A","Reproduction","Total number of offspring","Female",30,-1.79218697281654,0.350372942047916,-10,30,20,NA,"Cool"
"253","Good","TEMP1456",1265,24,"10B","NIKLASSON, H.; PARKER, E. m. o.",1994,"FITNESS VARIATION IN AN INVADING PARTHENOGENETIC COCKROACH","10.2307/3546171","Pycnoscelus surinamensis","Blaberidae","Insecta","Arthropoda","Parthenogenetic",NA,"No","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP1456_4","TEMP1456A","Reproduction","Total number of offspring","Female",30,-1.24344006185123,0.298316974606769,-10,30,20,NA,"Cool"
"513","Good","TEMP2102",1822,35,"15A","Uygun, N.; Atlihan, R. m. d.",2000,"The effect of temperature on development and fecundity of Scymnus levaillanti","10.1023/A:1026505329762","Scymnus levaillanti","Coccinellidae","Insecta","Arthropoda","Both sexes","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Juvenile","No","Constant","No","TEMP2102_2","TEMP2102A","Reproduction","Total egg number per female","Female",25,-1.78929989030221,0.260797690248631,-10,25,15,NA,"Cool"
"569","Good","TEMP2288",1973,38,"25C","Zhang, L.-H.et al. Â©",2020,"Effects of cold storage on the fitness of Tamarixia radiata, a dominant parasitoid of Asian citrus psyllid Diaphorina citri","10.1016/j.cropro.2019.104988","Tamarixia radiata","Eulophidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"Mix","Pupae","Yes","Constant","No","TEMP2288_1","TEMP2288A","Reproduction","eggs per female","Female",26,-6.35870869717068,0.190875030340411,-24,26,2,NA,"Cool"
"570","Good","TEMP2288",1973,38,"25C","Zhang, L.-H.et al. Â©",2020,"Effects of cold storage on the fitness of Tamarixia radiata, a dominant parasitoid of Asian citrus psyllid Diaphorina citri","10.1016/j.cropro.2019.104988","Tamarixia radiata","Eulophidae","Insecta","Arthropoda","Female","Internal","Control agent","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"Mix","Pupae","Yes","Constant","No","TEMP2288_2","TEMP2288B","Longevity","female longevity","Female",26,-14.4845926736578,2.72254281152227,-24,26,2,NA,"Cool"
"614","Good","TEMP265",298,4,"20A","Brugnano ez al, 2009",2009,"Temperature effects on fecundity, development and survival of the benthopelagic calanoid copepod, Pseudocyclops xiphophorus","10.1007/s00227-008-1086-9","Pseudocyclops xiphophorus","PseudocyclopidaeÃÂ ","Crustacea","Arthropoda","Both sexes","Internal","No","Lab","Wild-caught","Experimental","Aquatic","Italy","Europe","Italy","More than 5 days","Adult","No","Constant","No","TEMP265_1","TEMP265_A","Longevity","Longevity (days)","Female",NA,-3.47971954193548,1.00542240452638,-12,24,12,NA,"Cool"
"622","Good","TEMP286",318,5,"C","Bybee, L. F.et al.",2004,"Effects of temperature on fecundity and longevity of Phoracantha recurva and P-semipunctata (Coleoptera : Cerambycidae)","10.1603/0046-225X-33.2.138","Phoracantha recurva","Cerambycidae","Insecta","Arthropoda","Both sexes","Internal","Pest","Lab","Lab-reared","Experimental","Terrestrial",NA,NA,NA,"More than 5 days","Adult","No","Constant","No","TEMP286_1","TEMP286_A","Reproduction","Total fecundity","Female",NA,-1.97901452071095,0.2708295107542,-15,25,10,NA,"Cool"
