--,Decision,Exclusion reason,Paper code,Paper number,Screening set,Extraction set,Paper,Publication year,Title,DOI,Species latin,Family,Class,Phylum,Sex exposed,Fertilisation mode,Agricultural importance,Lab or field,Animal origin,Stressor variation,Habitat,Country of origin,Continent of origin,Ocean/sea of origin,Exposure duration,Life-stage of animal,Lowest temp below 10°C?,Constant or fluctuating?,Acclimated?,Temperature,Humidity,pH,Salinity,Radiation,Number of stressors,Interaction effects?,Other stressors,Gamete traits,Gonad traits,Reproductive output,Mating behaviour,Survival,Comments,Number of projects,#SURVIVAL,#AQUATIC,#WILD,#SPERM,#COLD,#INTERACTION,...52
Claire Smithson,Include,Life history traits available,TEMP1107,980,18,21,"Lee, J. H.; Ahn, J. J.",2000,"Temperature effects on development, fecundity, and life table parameters of Amblyseius womersleyi (Acari : Phytoseiidae)",10.1093/ee/29.2.265,Amblyseius womersleyi,Phytoseiidae,Arachnid,Arthropoda,Females only,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Claire Smithson,Include,Life history traits available,TEMP1108,981,18,21,"Lee, J.et al.",2018,Temperature-dependent development and oviposition models of Ramulus irregulariterdentatus (Phasmida: Phasmatidae),10.1016/j.aspen.2018.07.003,Ramulus irregulariterdentatus,Phasmatidae,Insecta,Arthropoda,Parthenogenetic,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,number of eggs laid,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Pedro,Include,NA,TEMP1109,982,18,11,"Lee, M.-C.et al.",2020,Effects of low temperature on longevity and lipid metabolism in the marine rotifer Brachionus koreanus,10.1016/j.cbpa.2020.110803,Brachionus koreanus,Brachionidae,Monogononta,Rotifera,Parthenogenetic,NA,No,Lab,Lab-reared,Experimental,Aquatic,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,includes  survival curves; parthenogenetic,2,Yes,Yes,No,No,No,No,NA
Alessio,Include,NA,TEMP111,185,2,2B,"Auad, A. M.et al.",2009,THE IMPACT OF TEMPERATURE ON BIOLOGICAL ASPECTS AND LIFE TABLE OF RHOPALOSIPHUM PADI (HEMIPTERA: APHIDIDAE) FED WITH SIGNAL GRASS,10.1653/024.092.0406,Rhopalosiphum padi,Aphididae,Insecta,Arthropoda,Parthenogenetic,NA,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Fecundity,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Jacintha Ellers,Include,NA,TEMP1112,985,18,9A,"Lee, Y. S.et al.",2018,Temperature-dependent development and oviposition models of Illeis koebelei (Coleoptera: Coccinellidae),10.1016/j.aspen.2018.07.011,Illeis koebelei,Coccinellidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,number of eggs laid,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Jacintha Ellers,Include,NA,TEMP1114,987,18,9A,"Legaspi, J. C.et al.",2011,Life Table Analysis and Development of Singhiella simplex (Hemiptera: Aleyrodidae) Under Different Constant Temperatures,10.1603/AN10148,Singhiella simplex,Aleyrodidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,number of eggs laid,NA,Yes,pop growth rate (R0),1,Yes,No,No,No,No,No,NA
Jacintha Ellers,Include,NA,TEMP1115,988,18,9A,"Legaspi, J. C.et al.",2008,"Life table analysis for immatures and female adults of the predatory beetle, Delphastus catalinae, feeding on whiteflies under three constant temperatures",10.1673/031.008.0701,Delphastus catalinae,Coccinellidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,number of eggs laid,NA,Yes,pop growth rate (R0),1,Yes,No,No,No,No,No,NA
Jacintha Ellers,Include,NA,TEMP1116,989,18,9A,"Legaspi, J. m. o.",2004,Life history of Podisus maculiventris (Heteroptera : Pentatomidae) adult females under different constant temperatures,10.1603/0046-225X-33.5.1200,Podisus maculiventris,Pentatomidae,Insecta,Arthropoda,Females only,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,number of eggs laid,NA,Yes,pop growth rate (R0),1,Yes,No,No,No,No,No,NA
Fay Frost,Exclude,no sd for longevity,TEMP1118,990,18,NA,"LEIBEE, G.",1984,"INFLUENCE OF TEMPERATURE ON DEVELOPMENT AND FECUNDITY OF LIRIOMYZA-TRIFOLII (BURGESS) (DIPTERA, AGROMYZIDAE) ON CELERY",10.1093/ee/13.2.497,Liriomyza trifolii,Agromyzidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,more than 5 days,Adults only,no,constant,no,yes,no,no,no,no,1,no,no,NA,NA,egg number,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacintha Ellers,Include,NA,TEMP1121,993,18,9A,"Lemos, W. P.et al.",2003,Age-dependent fecundity and life-fertility tables for Euborellia annulipes (Lucas) (Dermaptera : Anisolabididae) a cotton boll weevil predator in laboratory studies with an artificial diet,10.1603/0046-225X-32.3.592,Euborellia annulipes,Anisolabididae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,"number of clutches, clutch size, total number of eggs, hatching success",NA,Yes,"pop growth rate (R0, r)",1,Yes,No,No,No,No,No,NA
Jacintha Ellers,Include,NA,TEMP1122,994,18,9A,"Lepage, M. P.et al.",2014,Oviposition Pattern of Early and Late-Emerging Genotypes of Delia radicum (Diptera: Anthomyiidae) at Different Temperatures,10.1603/EN13146,Delia radicum,Anthomyiidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Number of eggs,NA,Yes,early emerging and late emerging genotypes,1,Yes,No,No,No,No,No,NA
Pedro,Exclude,No SD,TEMP1124,996,18,11,"Lesniak, T. C.et al.",2015,Evaluating the Role of Temperature in the Reproduction of the Yellow Stingray (Urobatis jamaicensis),10.1002/zoo.21188,Urobatis jamaicensis,Urotrygonidae,Actinopterygii,Chordata,Both sexes,Internal,No,Lab,Wild-caught,Experimental,Aquatic,Bahamas,North America,Gulf of Mexico/North Atlantic sea,More than 5 days,Adult,No,Constant,Yes (mix),Yes,No,No,No,No,1,NA,No,NA,NA,"pregnancy, number of live /stillborn births",Copulation duration,Yes,NA,2,Yes,Yes,No,No,No,No,NA
Pedro,Exclude,boxplots,TEMP1125,997,18,11,"Lessard, E.; Boivin, G. m. j.",2013,"Effect of low temperature on emergence, fecundity, longevity and host-feeding by Trichogramma brassicae",10.1007/s10526-012-9493-8,Trichogramma brassicae,Trichogrammatidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Embryo,Yes,Constant,Yes (mix),Yes,No,No,No,No,1,NA,Photoperiod,NA,NA,Fecundity,NA,Yes,cold; acclimation,2,Yes,No,No,No,Yes,No,NA
Fay Frost,Exclude,only extracted constant temps,TEMP1128,1000,18,C,"Levie, A.et al.",2005,Consequences of acclimation on survival and reproductive capacities of cold-stored mummies of Aphidius rhopalosiphi (Hymenoptera : Aphidiinae),10.1603/0022-0493-98.3.704,Aphidius rhopalosiphi,Braconidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Pupae,Yes,Constant,Yes (< 4 days),Yes,No,No,No,No,1,NA,No,NA,NA,"sterility, fecundity",NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Jacintha Ellers,Include,NA,TEMP1131,1002,19,9A,"Li, B. L.et al.",2018,"Effects of constant and stage-specific-alternating temperature on the survival, development and reproduction of the oriental armyworm, Mythimna separata (Walker) (Lepidoptera: Noctuidae)",10.1016/S2095-3119(17)61841-0,Mythimna separata,Noctuidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,"egg number, lifetime fecundity",NA,Yes,"pop growth rate (R0, r), also fluctuating temp treatments",1,Yes,No,No,No,No,No,NA
Fay Frost,Exclude,No SD,TEMP1132,1003,19,C,"Li, C.et al. (a)",2009,"Influences of Temperature on Development and Survival, Reproduction and Growth of a Calanoid Copepod (Pseudodiaptomus dubia)",10.1100/tsw.2009.96,Pseudodiaptomus dubia,Pseudodiaptomidae,Crustacea,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Aquatic,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Clutch size,NA,Yes,NA,2,Yes,Yes,No,No,No,No,NA
Jacintha Ellers,Exclude,No SD,TEMP1136,1006,19,9A,"Li, L. T.et al.",2013,"The effects of temperature on the development of the moth Athetis lepigone, and a prediction of field occurrence",10.1673/031.013.10301,Athetis lepigone,Noctuidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Jacintha Ellers,Include,NA,TEMP1137,1007,19,9A,"Li, W. B.et al.",2020,Effects of Temperature on the Development and Fecundity of Atractomorpha Sinensis (Orthoptera: Pyrgomorphidae),10.1093/jee/toaa145,Atractomorpha sinensis,Pyrgomorphidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,"pop growth rate (R0, r)",1,Yes,No,No,No,No,No,NA
Jacintha Ellers,Include,NA,TEMP1138,1008,19,9A,"Li, W. X.et al.",2015,"Effects of Temperature on the Age-Stage, Two-Sex Life Table of Bradysia odoriphaga (Diptera: Sciaridae)",10.1093/jee/tou011,Bradysia odoriphaga,Sciaridae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,"pop growth rate (R0, r)",1,Yes,No,No,No,No,No,NA
Claire Smithson,Exclude,No sample size,TEMP1139,1009,19,21,"Li, W. Z.et al.",2021,"Effects of short-term heat stress on the development and reproduction of predatory mite Neoseiulus barkeri (Acari, Phytoseiidae)",10.11158/saa.26.4.5,Neoseiulus barkeri,Phytoseiidae,Arachnida,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Mix,Mix,No,Fluctuating,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Claire Smithson,Exclude,No sample size,TEMP1141,1010,19,21,"Li, Y. J.et al.",2019,Effects of temperature on a Chinese population of Amblyseius andersoni (Acari: Phytoseiidae) fed with Tetranychus urticae,10.24349/acarologia/20194344,Amblyseius andersoni,Phytoseiidae,Arachnida,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Marco Graziano,Include,NA,TEMP1147,1016,19,20,"Liang, L.-N.et al.",2014,"A Single Hot Event Stimulates Adult Performance but Reduces Egg Survival in the Oriental Fruit Moth, Grapholitha molesta",10.1371/journal.pone.0116339,Grapholita molesta,Tortricidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Less than 24 hrs,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,copula duration,Yes,Both males and female effects on fecundity,1,Yes,No,No,No,No,No,NA
Pedro,Include,NA,TEMP1150,1018,19,11,"Liao, H. J.et al.",2014,Heat shock suppresses mating and sperm transfer in the rice leaf folder Cnaphalocrocis medinalis,10.1017/S0007485314000212,Cnaphalocrocis medinalis,Crambidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,Mix,Mix,No,Both,No,Yes,No,No,No,No,1,NA,No,sperm bundle number and size,Ovary development,Egg number,"copula duration, mating rate",Yes,includes survival curves,2,Yes,No,No,Yes,No,No,NA
Berta,Include,NA,TEMP1151,1019,19,10A,"Liao, Q. J.et al.",2017,"Temperature-dependent development and reproduction of rice leaffolder, Marasmia exigua (Lepidoptera: Pyralidae)",10.1371/journal.pone.0187972,Marasmia exigua,Crambidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,"number of eggs, lifetime fecundity",NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Fay Frost,Exclude,No useable data,TEMP1155,1023,19,C,"Limbu, S.et al.",2017,Effects of Temperature on Development of Lymantria dispar asiatica and Lymantria dispar japonica (Lepidoptera: Erebidae),10.1093/ee/nvx111,Lymantria dispar,Erebidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,Yes,Constant,No,Yes,Yes,No,No,No,2,No,No,NA,NA,"number of eggs, number of embryonated eggs",NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Fay Frost,Include,NA,TEMP1157,1025,19,C,"Lin, J.et al.",2020,Quantification and Impact of Cold Storage and Heat Exposure on Mass Rearing Program of Bactrocera dorsalis (Diptera:Tephritidae) Genetic Sexing Strain,10.3390/insects11110821,Bactrocera dorsalis,Tephritidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,mating competitiveness,Yes,NA,1,Yes,No,No,No,No,No,NA
Berta,Include,NA,TEMP1158,1026,19,10A,"Lin, M.-Y. m. d.",2013,Temperature-dependent life history of Oligonychus mangiferus (Acari: Tetranychidae) on Mangifera indica,10.1007/s10493-013-9716-4,Oligonychus mangiferus,Tetranychidae,Arachnida,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Fay Frost,Include,NA,TEMP1161,1029,19,C,"LINTS, F.; LINTS, C.",1971,INFLUENCE OF PREIMAGINAL ENVIRONMENT ON FECUNDITY AND AGING IN DROSOPHILA-MELANOGASTER HYBRIDS .2. PREIMAGINAL TEMPERATURE,10.1016/0531-5565(71)90021-0,Drosophila melanogaster,Drosophilidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Juvenile,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Fay Frost,Include,NA,TEMP1165,1033,19,C,"Liu, J. P.et al.",2021,"Impact of Temperature on Survival Rate, Fecundity, and Feeding Behavior of Two Aphids, Aphis gossypii and Acyrthosiphon gossypii, When Reared on Cotton",10.3390/insects12060565,"Aphis gossypii, Acyrthosiphon gossypii",Aphididae,Insecta,Arthropoda,Parthenogenetic,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Number of offspring,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Fay Frost,Include,NA,TEMP1168,1036,19,C,"Liu, T.; Yue, B. m. j.",2001,Comparison of some life history parameters between alate and apterous forms of turnip aphid (Homoptera : Aphididae) on cabbage under constant temperatures,10.2307/3496173,Lipaphis erysimi,Aphididae,Insecta,Arthropoda,Parthenogenetic,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Number of offspring,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Fay Frost,Include,NA,TEMP1169,1037,19,NA,"Liu, X. D.; Zhang, A. M.",2013,High temperature determines the ups and downs of small brown planthopper Laodelphax striatellus population,10.1111/j.1744-7917.2012.01533.x,Laodelphax striatellus,Delphacidae,Insecta,Arthropoda,Both sexes,Internal,Pest,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,more than 5 days,mix,no,constant,no,yes,no,no,no,no,1,no,no,NA,NA,egg number / number hatched,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fay Frost,Include,NA,TEMP1170,1038,19,C,"Liu, X.et al.",2015,Combined effects of temperature and food concentration on growth and reproduction of Eodiaptomus japonicus (Copepoda: Calanoida) from Lake Biwa (Japan),10.1111/fwb.12626,Eodiaptomus japonicus,Diaptomidae,Crustacea,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Aquatic,NA,NA,NA,More than 5 days,Mix,No,Constant,Yes (multiple generations),Yes,No,No,No,No,1,NA,Food level,NA,NA,Egg number,NA,Yes,NA,2,Yes,Yes,No,No,No,No,NA
Fay Frost,Include,NA,TEMP1172,1039,19,C,"Liu, Y. H.; Tsai, J. H.",2002,"Effect of temperature on development, survivorship, and fecundity of Lysiphlebia mirzai (Hymenoptera : Aphidiidae), a parasitoid of Toxoptera citricida (Homoptera : Aphididae)",10.1603/0046-225X-31.2.418,Lysiphlebia mirzai,Braconidae,Insecta,Arthropoda,Both sexes,Internal,Control agent,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Berta,Include,NA,TEMP1173,1040,19,10A,"Liu, Y.-Y.et al. (b)",2018,Demography and Mass Rearing of the Medicinal Blister Beetle Epicauta impressicornis (Pic) (Coleoptera: Meloidae) at Different Temperatures,10.1093/jee/toy197,Epicauta impressicornis,Meloidae,Insecta,Arthropoda,Both sexes,Internal,Other,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,No,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,1,Yes,No,No,No,No,No,NA
Pedro,Include,NA,TEMP1177,1044,19,11,"Lombaert, E.et al.",2008,"Phenotypic variation in invasive and biocontrol populations of the harlequin ladybird, Harmonia axyridis",10.1007/s10526-007-9131-z,Harmonia axyridis,Coccinellidae,Insecta,Arthropoda,Both sexes,Internal,No,Lab,Lab-reared,Experimental,Terrestrial,NA,NA,NA,More than 5 days,Mix,Yes,Constant,No,Yes,No,No,No,No,1,NA,No,NA,NA,Egg number,NA,Yes,NA,2,Yes,No,No,No,Yes,No,NA
Pedro,Exclude,No SD,TEMP1190,1053,20,11,"Lora-Vilchis, M.et al.",2003,"Histological characterization of the spawning process in the catarina scallop, Argopecten ventricosus (Sowerby II, 1842) induced by thermal shock and serotonin injection",10.1080/07924259.2003.9652558,Argopecten ventricosus,Pectinidae,Bivalvia,Mollusca,Both sexes,External,No,Lab,Wild-caught,Experimental,Aquatic,Mexico,North America,Gulf of California,Less than 24 hrs,Adult,No,Constant,No,Yes,No,No,No,No,1,NA,No,Sperm and egg latency time,NA,Spawning rate,NA,Yes,NA,3,Yes,Yes,No,Yes,No,No,NA
